user_id,teamchat_session_id,Joins_time
1588,6776,1:02:02 AM
350,6777,1:33:09 AM
740,6778,1:27:52 AM
1068,6779,1:10:48 AM
1554,6780,1:24:42 AM
668,6781,1:16:48 AM
1989,6782,1:20:53 AM
540,6783,1:23:03 AM
516,6784,1:25:45 AM
630,6785,1:17:50 AM
1847,6779,1:04:22 AM
461,6787,1:08:05 AM
708,6783,1:12:31 AM
417,6789,1:19:22 AM
1038,6790,1:34:18 AM
2100,6791,1:01:43 AM
1349,6792,1:31:36 AM
1606,6780,1:16:39 AM
1479,6794,1:25:54 AM
1535,6795,1:10:16 AM
192,6796,1:19:28 AM
1311,6797,1:29:49 AM
518,6782,1:23:05 AM
20,6799,1:01:44 AM
214,6800,1:16:25 AM
789,6796,1:18:40 AM
521,6809,1:21:58 AM
1754,6810,1:17:58 AM
1059,6811,1:23:18 AM
303,6813,1:24:12 AM
294,6783,1:26:57 AM
291,6815,1:28:08 AM
1090,6783,1:09:36 AM
702,6817,1:06:08 AM
1673,6818,1:24:48 AM
265,6819,1:32:50 AM
554,6820,1:08:33 AM
515,6821,1:21:12 AM
674,6778,1:11:21 AM
1125,6792,1:08:27 AM
1755,6799,1:05:52 AM
63,6784,1:12:58 AM
1074,6838,1:23:03 AM
1503,6792,1:09:18 AM
1627,6784,1:00:09 AM
650,6811,1:08:03 AM
1596,6791,1:26:33 AM
733,6850,1:04:19 AM
1244,6821,1:03:21 AM
863,6811,1:22:52 AM
69,6853,1:32:09 AM
1219,6854,1:33:10 AM
1256,6785,1:26:45 AM
438,6790,1:08:02 AM
319,6857,1:10:15 AM
1996,6858,1:22:42 AM
1051,6859,1:25:21 AM
767,6791,1:06:11 AM
1366,6810,1:07:05 AM
440,6863,1:07:52 AM
1955,6866,1:16:48 AM
1335,6866,1:30:17 AM
288,6868,1:08:12 AM
983,6799,1:21:56 AM
9,6776,1:09:07 AM
738,6789,1:25:09 AM
394,6875,1:20:12 AM
1789,6819,1:24:22 AM
428,6886,1:31:54 AM
1873,6850,1:18:27 AM
464,6888,1:09:23 AM
2089,6889,1:10:06 AM
1768,6891,1:10:45 AM
611,6809,1:06:31 AM
951,6903,1:29:13 AM
240,6783,1:01:28 AM
1792,6792,1:09:17 AM
88,6821,1:03:50 AM
1318,6910,1:26:19 AM
97,6911,1:09:05 AM
1559,6912,1:15:55 AM
1574,6850,1:20:56 AM
329,6914,1:01:30 AM
1709,6866,1:00:31 AM
1494,6859,1:29:48 AM
257,6792,1:01:50 AM
1482,6787,1:26:23 AM
642,6920,1:11:34 AM
1085,6910,1:07:10 AM
500,6922,1:05:11 AM
502,6799,1:16:11 AM
1995,6925,1:23:18 AM
1237,6819,1:07:30 AM
1095,6792,1:04:01 AM
1220,6859,1:16:36 AM
1658,6782,1:09:20 AM
365,6819,1:20:25 AM
968,6911,1:26:01 AM
1398,6780,1:11:08 AM
2004,6925,1:07:34 AM
1204,6776,1:09:47 AM
696,6943,1:21:58 AM
1487,6800,1:05:09 AM
1816,6946,1:32:21 AM
426,6797,1:16:33 AM
2093,6922,1:25:50 AM
1001,6949,1:20:36 AM
1037,6951,1:11:42 AM
869,6809,1:31:32 AM
1165,6914,1:23:49 AM
280,6956,1:17:45 AM
2075,6854,1:17:15 AM
1741,6799,1:14:23 AM
1848,6949,1:26:38 AM
743,6922,1:01:50 AM
507,6813,1:06:18 AM
1991,6850,1:12:31 AM
1110,6973,1:02:17 AM
2006,6974,1:02:15 AM
252,6810,1:12:04 AM
333,6811,1:02:54 AM
230,6853,1:17:16 AM
719,6792,1:24:52 AM
412,6778,1:27:06 AM
996,6984,1:03:27 AM
1573,6777,1:21:08 AM
1268,6791,1:25:54 AM
1450,6794,1:05:33 AM
1926,7007,1:13:17 AM
1127,7008,1:29:21 AM
1056,6780,1:24:29 AM
2067,6784,1:17:50 AM
1975,6949,1:12:23 AM
1302,7022,1:21:27 AM
254,7024,1:14:03 AM
1324,6821,1:08:53 AM
222,6778,1:19:12 AM
1525,7028,1:32:39 AM
