user_id,teamchat_session_id,leaves_time,leaves_time, time_leave_v2 
1244,6821,1:26,2:53 AM," 1,534,140.00 "
1074,6838,1:12,2:53 AM," 1,534,140.00 "
350,6777,1:19,2:55 AM," 1,534,140.00 "
1349,6792,1:15,12:18 PM," 1,534,140.00 "
1219,6854,1:34,2:53 AM," 1,534,140.00 "
1398,6780,1:02,3:38 AM," 1,534,140.00 "
500,6922,1:27,2:53 AM," 1,534,140.00 "
20,6799,1:03,2:53 AM," 1,534,140.00 "
2004,6925,1:33,2:54 AM," 1,534,140.00 "
1051,6859,1:04,2:53 AM," 1,534,140.00 "
442,7035,1:05,7:19 AM," 1,534,140.00 "
14,6782,1:05,2:53 AM," 1,534,140.00 "
2100,6791,1:21,2:53 AM," 1,534,140.00 "
1996,6858,1:34,2:55 AM," 1,534,140.00 "
540,6783,1:05,6:15 AM," 1,534,140.00 "
1324,6821,1:20,2:53 AM," 1,534,140.00 "
1237,6819,1:06,5:16 AM," 1,534,140.00 "
1606,6780,1:01,2:54 AM," 1,534,140.00 "
1535,6795,1:24,2:53 AM," 1,534,140.00 "
88,6821,1:15,3:01 AM," 1,534,140.00 "
1920,6956,1:00,2:53 AM," 1,534,140.00 "
554,6820,1:17,7:46 AM," 1,534,140.00 "
1019,6817,1:30,2:53 AM," 1,534,140.00 "
97,6911,1:12,2:53 AM," 1,534,140.00 "
1599,6782,1:31,2:54 AM," 1,534,140.00 "
621,6914,1:33,2:56 AM," 1,534,140.00 "
2093,6922,1:06,2:53 AM," 1,534,140.00 "
516,6784,1:17,2:57 AM," 1,534,140.00 "
967,6783,1:16,3:04 AM," 1,534,140.00 "
423,6925,1:07,2:54 AM," 1,534,140.00 "
37,7104,1:10,2:52 AM," 1,534,140.00 "
240,6783,1:32,2:53 AM," 1,534,140.00 "
696,6943,1:16,5:16 AM," 1,534,140.00 "
1084,6778,1:30,2:53 AM," 1,534,140.00 "
1665,6811,1:13,2:52 AM," 1,534,140.00 "
1665,6811,1:19,2:56 AM," 1,534,140.00 "
214,6800,1:22,2:57 AM," 1,534,140.00 "
294,6783,1:32,2:53 AM," 1,534,140.00 "
428,6886,1:26,2:52 AM," 1,534,140.00 "
683,6889,1:20,4:06 AM," 1,534,140.00 "
876,6920,1:17,2:53 AM," 1,534,140.00 "
1268,6791,1:12,2:58 AM," 1,534,140.00 "
1514,7212,1:13,2:54 AM," 1,534,140.00 "
1305,6925,1:06,2:53 AM," 1,534,140.00 "
1703,7035,1:00,10:40 AM," 1,534,140.00 "
1588,6776,1:23,2:54 AM," 1,534,140.00 "
128,6810,1:07,2:54 AM," 1,534,140.00 "
1318,6910,1:24,2:54 AM," 1,534,140.00 "
1839,6780,1:10,2:53 AM," 1,534,140.00 "
701,6792,1:25,2:57 AM," 1,534,140.00 "
767,6791,1:23,2:56 AM," 1,534,140.00 "
110,6854,1:28,2:57 AM," 1,534,140.00 "
456,6810,1:09,2:53 AM," 1,534,140.00 "
1035,6790,1:32,2:58 AM," 1,534,140.00 "
483,6779,1:13,2:54 AM," 1,534,140.00 "
1126,6888,1:20,2:55 AM," 1,534,140.00 "
394,6875,1:09,2:55 AM," 1,534,140.00 "
735,6792,1:11,7:46 AM," 1,534,140.00 "
380,6792,1:31,2:53 AM," 1,534,140.00 "
97,6911,1:21,2:57 AM," 1,534,140.00 "
1204,6776,1:32,6:59 AM," 1,534,140.00 "
1548,6776,1:32,2:54 AM," 1,534,140.00 "
1034,6794,1:22,3:00 AM," 1,534,140.00 "
1816,6946,1:02,3:16 AM," 1,534,140.00 "
1056,6780,1:08,2:57 AM," 1,534,140.00 "
1995,6925,1:27,2:53 AM," 1,534,140.00 "
1596,6791,1:34,2:55 AM," 1,534,140.00 "
319,6857,1:08,3:00 AM," 1,534,140.00 "
1428,6984,1:00,2:57 AM," 1,534,140.00 "
668,6781,1:33,2:54 AM," 1,534,140.00 "
252,6810,1:02,7:30 AM," 1,534,140.00 "
1839,6780,1:01,2:54 AM," 1,534,140.00 "
305,6943,1:15,2:54 AM," 1,534,140.00 "
936,6949,1:07,2:52 AM," 1,534,140.00 "
1482,6787,1:32,2:52 AM," 1,534,140.00 "
128,6810,1:05,2:55 AM," 1,534,140.00 "
1994,6858,1:03,2:54 AM," 1,534,140.00 "
834,6819,1:03,2:53 AM," 1,534,140.00 "
394,6875,1:08,2:53 AM," 1,534,140.00 "
288,6868,1:12,2:52 AM," 1,534,140.00 "
987,6925,1:20,4:06 AM," 1,534,140.00 "
1506,6780,1:19,2:53 AM," 1,534,140.00 "
1935,6799,1:26,2:53 AM," 1,534,140.00 "
674,6778,1:05,3:41 AM," 1,534,140.00 "
2033,6791,1:24,2:53 AM," 1,534,140.00 "
1868,6888,1:21,2:56 AM," 1,534,140.00 "
388,6795,1:14,3:08 AM," 1,534,140.00 "
789,6796,1:01,2:53 AM," 1,534,140.00 "
631,6789,1:00,2:54 AM," 1,534,140.00 "
1844,6956,1:33,2:56 AM," 1,534,140.00 "
1847,6779,1:16,2:54 AM," 1,534,140.00 "
80,6791,1:33,2:54 AM," 1,534,140.00 "
240,6783,1:26,2:54 AM," 1,534,140.00 "
1978,7212,1:17,2:57 AM," 1,534,140.00 "
265,6819,1:18,2:55 AM," 1,534,140.00 "
1996,6858,1:20,2:54 AM," 1,534,140.00 "
560,6925,1:29,2:55 AM," 1,534,140.00 "
2050,6794,1:17,2:53 AM," 1,534,140.00 "
1450,6794,1:28,4:06 AM," 1,534,140.00 "
1638,7347,1:30,2:53 AM," 1,534,140.00 "
254,7024,1:26,2:56 AM," 1,534,140.00 "
2067,6784,1:08,3:28 AM," 1,534,140.00 "
1975,6949,1:25,2:56 AM," 1,534,140.00 "
417,6789,1:17,7:42 AM," 1,534,140.00 "
982,7443,1:12,3:00 AM," 1,534,140.00 "
131,6974,1:16,5:16 AM," 1,534,140.00 "
137,8205,1:24,6:15 AM," 1,534,140.00 "
428,6886,1:20,2:53 AM," 1,534,140.00 "
1768,6891,1:12,2:53 AM," 1,534,140.00 "
412,6778,1:11,2:53 AM," 1,534,140.00 "
853,7212,1:33,2:54 AM," 1,534,140.00 "
968,6911,1:17,2:54 AM," 1,534,140.00 "
759,6857,1:07,2:53 AM," 1,534,140.00 "
1356,6783,1:08,2:53 AM," 1,534,140.00 "
1366,6810,1:26,6:15 AM," 1,534,140.00 "
1989,6782,1:12,2:53 AM," 1,534,140.00 "
1506,6780,1:02,2:53 AM," 1,534,140.00 "
1978,7212,1:07,6:59 AM," 1,534,140.00 "
388,6795,1:14,3:04 AM," 1,534,140.00 "
423,6925,1:20,2:56 AM," 1,534,140.00 "
669,6984,1:16,6:23 AM," 1,534,140.00 "
1110,6973,1:05,8:34 AM," 1,534,140.00 "
1649,6857,1:27,2:53 AM," 1,534,140.00 "
431,6810,1:28,7:22 AM," 1,534,140.00 "
789,6796,1:01,4:55 AM," 1,534,140.00 "
319,6857,1:10,2:53 AM," 1,534,140.00 "
1118,6850,1:12,2:53 AM," 1,534,140.00 "
365,6819,1:13,2:54 AM," 1,534,140.00 "
1754,6810,1:00,3:04 AM," 1,534,140.00 "
62,6792,1:30,4:23 AM," 1,534,140.00 "
