chat_item,user_id,Mention_time
6824,1847,2:53
6865,789,2:54
6906,518,2:55
6934,240,2:55
6968,1482,2:56
6976,1792,2:56
6983,767,2:56
6986,1256,2:56
7018,743,2:56
7020,1847,2:57
7044,438,2:57
7079,14,2:57
7083,1450,2:58
7085,869,2:58
7091,869,2:58
7105,1095,2:58
7118,1487,2:58
7135,1494,2:58
7136,14,2:58
7141,1769,2:59
7146,1769,2:59
7147,1085,2:59
7157,388,2:59
7180,1366,2:59
7183,789,2:59
7186,1873,2:59
7190,1755,2:59
7191,863,2:59
7194,350,2:59
7231,1253,3:00
7232,1095,3:00
7253,915,3:00
7268,1847,3:01
7286,1920,3:01
7297,876,3:01
7317,1671,3:01
7332,1920,3:02
7333,1487,3:02
7344,1019,3:02
7346,1107,3:02
7355,128,3:02
7362,1126,3:02
7371,1272,3:02
7389,1848,3:03
7398,199,3:03
7411,368,3:03
7425,1792,3:03
7427,1285,3:03
7438,1709,3:03
7445,735,3:04
7448,1256,3:04
7470,683,3:04
7477,2047,3:04
7479,1769,3:04
7480,263,3:04
7481,1084,3:04
7484,438,3:04
7509,1975,3:05
7510,1450,3:05
7514,20,3:05
7527,365,3:05
7548,449,3:05
7561,333,3:06
7562,1241,3:06
7566,987,3:06
7568,1617,3:06
7571,1709,3:06
7576,650,3:06
7577,1599,3:06
7578,2022,3:06
7580,985,3:06
7592,30,3:06
7593,1231,3:06
7594,388,3:06
7595,2034,3:06
7608,2095,3:06
7609,936,3:06
7610,128,3:06
7613,1671,3:06
7618,1029,3:06
7620,834,3:07
7625,252,3:07
7630,2022,3:07
7633,560,3:07
7636,1494,3:07
7637,1789,3:07
7640,1789,3:07
7644,294,3:07
7646,2047,3:07
7656,507,3:07
7658,1033,3:07
7659,2022,3:07
7660,843,3:07
7664,30,3:07
7682,698,3:08
7684,1792,3:08
7687,1550,3:08
7693,915,3:08
7695,1819,3:08
7707,611,3:08
7710,650,3:08
7711,194,3:08
7714,283,3:08
7717,1428,3:08
7736,507,3:08
7740,999,3:09
7750,1994,3:09
7783,863,3:09
7790,97,3:09
7795,1033,3:09
7798,30,3:09
7801,2034,3:10
7802,1482,3:10
7803,1192,3:10
7809,2066,3:10
7816,1514,3:10
7818,1165,3:10
7822,257,3:10
7824,240,3:10
7834,886,3:10
7849,1441,3:10
7868,63,3:11
7869,1118,3:11
7870,350,3:11
7876,1034,3:11
7899,1793,3:11
7905,876,3:11
7915,1285,3:11
7919,554,3:11
7927,483,3:12
7955,196,3:12
7974,1658,3:12
7988,339,3:13
7990,602,3:13
7993,222,3:13
7999,1428,3:13
8017,650,3:13
8018,388,3:13
8022,674,3:13
8027,502,3:13
8031,431,3:13
8037,456,3:13
8046,1665,3:14
8066,936,3:14
8069,497,3:14
8070,1658,3:14
8076,1378,3:14
8079,1793,3:14
8085,1548,3:14
8091,1256,3:14
8104,1671,3:15
8122,602,3:15
8134,1107,3:15
8137,1839,3:15
8140,1153,3:15
8141,1136,3:15
8145,1107,3:15
8150,1535,3:15
8179,230,3:16
8203,507,3:16
8204,350,3:16
8208,696,3:16
8230,1285,3:17
8234,178,3:17
8238,1665,3:17
8239,1873,3:17
8244,2064,3:17
8251,1996,3:17
8252,423,3:17
8256,37,3:17
8258,1356,3:17
8265,1999,3:17
8266,685,3:17
8281,1398,3:18
8286,1514,3:18
8287,1550,3:18
8290,1285,3:18
8298,1285,3:18
8299,1272,3:18
8300,1920,3:18
8302,368,3:18
8317,1882,3:18
8338,1305,3:18
8344,14,3:19
8350,1920,3:19
8364,1033,3:19
8377,428,3:19
8393,1935,3:19
8398,886,3:19
8399,611,3:19
8400,1354,3:20
8408,1305,3:20
8414,426,3:20
8430,507,3:20
8440,174,3:20
8444,1153,3:20
8458,507,3:20
8470,1441,3:21
8476,1920,3:21
8484,631,3:21
8485,578,3:21
8492,1162,3:21
8500,554,3:21
8502,789,3:21
8509,2100,3:21
8515,1885,3:21
8517,1816,3:21
8540,1128,3:22
8545,1366,3:22
8550,724,3:22
8551,987,3:22
8552,1237,3:22
8571,483,3:22
8572,1165,3:22
8573,497,3:22
8574,1617,3:22
8581,1509,3:23
8586,125,3:23
8587,1258,3:23
8609,1848,3:23
8610,1882,3:23
8614,502,3:23
8629,1994,3:23
8642,110,3:24
8643,1192,3:24
8653,1617,3:24
8657,513,3:24
8662,1847,3:24
8663,1649,3:24
8673,1995,3:24
8675,1769,3:24
8692,1844,3:24
8710,423,3:25
8723,1574,3:25
8727,1398,3:25
8740,1606,3:25
8746,602,3:25
8750,1305,3:25
8752,1335,3:25
8756,2064,3:25
8761,1920,3:26
8763,62,3:26
8771,683,3:26
8779,1995,3:26
8792,449,3:26
8796,611,3:26
8810,1231,3:26
8814,1220,3:26
8818,1192,3:26
8821,1817,3:27
8834,861,3:27
8838,1769,3:27
8839,554,3:27
8841,987,3:27
8876,1,3:27
8882,1996,3:28
8884,1848,3:28
8885,1029,3:28
8886,1349,3:28
8902,1885,3:28
8910,1769,3:28
8936,125,3:28
8947,253,3:29
8948,1231,3:29
8949,497,3:29
8950,1482,3:29
8953,412,3:29
8962,1672,3:29
8966,915,3:29
8968,983,3:29
8976,735,3:29
8983,1482,3:29
8984,915,3:29
9001,1237,3:30
9017,1125,3:30
9019,1935,3:30
9021,1231,3:30
9024,131,3:30
9028,967,3:30
9030,985,3:30
9040,1118,3:30
9058,1136,3:30
9072,257,3:31
